title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
상춘재,6507,4.6,1,0.8984,0,0,0,0,0.23,-0.75,-0.58,-0.6,-0.72,-0.67,1.6,0.23,0.7425,0.7816,0.777,0.7494,0.7609
상춘재,6507,4.6,1.22,3.5822,0,0.9266,2.516,0.8228,0.51,0.09,-0.58,-0.14,0.56,-0.14,1.6,0.51,1.1009,0.7592,0.9836,1.3406,0.9836
상춘재,6507,4.6,0.75,6.3939,0,12.2703,3.3594,1.7601,-0.08,0.98,-0.58,5.52,0.98,0.48,1.6,-0.08,0.6816,0.8064,0.3184,0.6816,0.7216
상춘재,6507,4.6,-0.5,0.8984,0,0,0,0,-1.63,-0.75,-0.58,-0.6,-0.72,-0.67,1.6,-1.63,1.2075,0.9304,0.963,1.1586,1.0771
상춘재,6507,4.6,1.5,3.7269,0,3.7946,0.8286,0,0.85,0.14,-0.58,1.29,-0.3,-0.67,1.6,0.85,1.344,0.732,2.3215,0.97,0.6555
상춘재,6507,4.6,1,1.7024,0,1.8724,3.4303,0.8228,0.23,-0.5,-0.58,0.33,1.02,-0.14,1.6,0.23,0.8,0.7816,0.9909,1.1496,0.8828
상춘재,6507,4.6,1.4,4.3669,0.8863,2.8605,3.4245,1.7789,0.73,0.34,0.3,0.83,1.01,0.49,1.6,0.73,1.4132,1.384,1.7709,1.9023,1.5227
상춘재,6507,4.6,1.1,5.5512,0,0,0,0,0.36,0.71,-0.58,-0.6,-0.72,-0.67,1.6,0.36,1.2356,0.7712,0.764,0.7208,0.7388
상춘재,6507,4.6,2,2,0,2.9043,0,0,1.48,-0.4,-0.58,0.85,-0.72,-0.67,1.6,1.48,0.948,0.6816,2.798,0.4744,0.5484
상춘재,6507,4.6,0.56,9.851,0.8359,1.8714,8.4257,1.7501,-0.31,2.06,0.25,0.33,3.54,0.47,1.6,-0.31,0.0064,0.5675,0.5427,-0.4524,0.4993
상춘재,6507,4.6,1,5.4965,0.8769,0,1.6937,0,0.23,0.69,0.29,-0.6,0.14,-0.67,1.6,0.23,1.0737,0.9817,0.777,0.9472,0.7609
상춘재,6507,4.6,1.17,5.6542,0,0,0.8532,0.8895,0.45,0.74,-0.58,-0.6,-0.29,-0.09,1.6,0.45,1.358,0.764,0.755,0.8945,0.9845
상춘재,6507,4.6,0.5,0,0,0,0,0,-0.39,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,-0.39,1.0067,0.8312,0.839,0.8858,0.8663
상춘재,6507,4.6,2,0,0,0,0,0,1.48,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,1.48,0.0156,0.6816,0.652,0.4744,0.5484
상춘재,6507,4.6,1.44,5.0654,0,1.8458,4.2073,1.7789,0.78,0.56,-0.58,0.32,1.41,0.49,1.6,0.78,1.6268,0.7376,1.4396,2.2898,1.5722
상춘재,6507,4.6,1.3,1,0,0.9307,1,1.6892,0.61,-0.72,-0.58,-0.14,-0.21,0.43,1.6,0.61,0.6658,0.7512,1.0196,0.9769,1.3673
상춘재,6507,4.6,0.64,17.9343,2.931,1.9186,9.2692,4.2813,-0.21,4.6,2.31,0.36,3.97,2.13,1.6,-0.21,-0.271,0.2099,0.6194,-0.1387,0.2477
상춘재,6507,4.6,1.57,7.2743,0,4.6778,2.5218,0,0.94,1.25,-0.58,1.73,0.56,-0.67,1.6,0.94,2.445,0.7248,2.8962,1.7964,0.6402
상춘재,6507,4.6,2,1,0,0,1.6891,0.8273,1.48,-0.72,-0.58,-0.6,0.14,-0.13,1.6,1.48,0.4744,0.6816,0.652,1.7472,1.3476
상춘재,6507,4.6,1.5,1.6741,0,0,1.7136,0,0.85,-0.51,-0.58,-0.6,0.15,-0.67,1.6,0.85,0.7915,0.732,0.715,1.3525,0.6555
상춘재,6507,4.6,0.92,7.1568,0,3.8096,5.8824,2.6153,0.13,1.22,-0.58,1.3,2.26,1.04,1.6,0.13,1.0236,0.7896,1.034,1.1588,1.0002
상춘재,6507,4.6,1,3.6615,0,0.92,0.8392,0.8273,0.23,0.12,-0.58,-0.14,-0.29,-0.13,1.6,0.23,0.9426,0.7816,0.8828,0.8483,0.8851
상춘재,6507,4.6,2,5.3031,0,0,4.2959,2.6684,1.48,0.63,-0.58,-0.6,1.46,1.07,1.6,1.48,2.4724,0.6816,0.652,3.7008,3.1236
상춘재,6507,4.6,0.3,7.1153,2.4775,0,2.5206,0,-0.63,1.2,1.86,-0.6,0.56,-0.67,1.6,-0.63,-0.271,-0.6868,0.863,0.1322,0.9071
상춘재,6507,4.6,0.75,0.8631,0,0,0.8286,0,-0.08,-0.76,-0.58,-0.6,-0.3,-0.67,1.6,-0.08,0.8208,0.8064,0.808,0.784,0.8136
상춘재,6507,4.6,1.25,7.2007,0,7.506,4.2307,0.8895,0.54,1.23,-0.58,3.14,1.42,-0.09,1.6,0.54,1.7342,0.7568,2.7656,1.8368,1.0214
상춘재,6507,4.6,0.75,3.7892,0,2.8879,1.6921,0,-0.08,0.16,-0.58,0.84,0.14,-0.67,1.6,-0.08,0.7472,0.8064,0.6928,0.7488,0.8136
상춘재,6507,4.6,0.86,4.5618,0.8359,0,0.8784,0,0.06,0.4,0.25,-0.6,-0.27,-0.67,1.6,0.06,0.854,0.845,0.794,0.8138,0.7898
상춘재,6507,4.6,1.08,8.1758,0,5.7016,2.6038,0.8895,0.33,1.54,-0.58,2.24,0.6,-0.09,1.6,0.33,1.4732,0.7736,1.7042,1.163,0.9353
