"V1","V2","V3","V4","V5","V6","V7","V8","V9"
40681.8578087173,26951.9437065612,67964.2916797285,38894.6417919365,14672.8490287732,15882.9377286106,22540.6367151659,26659.956794525,31844.7017341667
56541.023467827,67069.9662888814,19411.302359957,16838.8636161253,40584.9668748625,38192.0025109963,65175.0521664431,39695.9007789149,17019.7109714409
56494.9262429981,66984.3306192718,19190.8780330726,16787.5951644228,40414.4012557051,38014.6115835343,65054.2030411399,39523.516408172,16975.2944778548
62293.5202608342,72239.7651220231,18180.0467948748,22641.5856577527,43689.7098736838,41051.9324033316,69636.2661110347,42739.4832862954,22888.8133163227
34651.9563527904,46465.3140304541,29834.4789911671,6100.28334391652,29587.8189416725,28683.0802090013,46809.2274216217,29121.5020926479,5668.7612520346
41330.4734646427,52136.3712609299,23219.7418444455,1634.53250549322,29927.935670912,28304.8123313531,51142.946465674,29246.8495856613,1836.53395163687
27326.0014267948,39477.6915364363,34941.4537558063,12811.719662808,27633.3455680383,27497.6996355052,40698.1292436007,27408.9668025546,12518.7417121661
40702.3731250694,51337.0879611848,22973.9032563302,1128.14188190205,28931.2542989211,27321.9835339368,50225.1490727733,28253.3068714072,1598.86212053149
27134.6153084366,38751.322066881,33932.0747201154,12626.2728367983,25838.4846811491,25706.1998604696,39513.8840875833,25612.5534728288,12404.8863102745
59004.4278155627,69397.1385018613,19293.8424672741,19293.1838479734,42235.0291109446,39750.5553853937,67297.6595875306,41322.7067415413,19489.406219714
36943.6583151174,41797.8938461621,37712.0299026561,67284.9153599361,16882.9872738167,29339.3621843115,41242.1798469455,68822.50001334,41239.5529498091
36764.590002928,41623.4839894791,37535.2346736096,67190.2919085404,16741.4211715703,29310.7958985468,41073.0274942844,68721.7787981491,41204.2339987604
39747.3233472182,44744.7779489681,40600.9998654135,72292.5833621077,21232.8670724195,35309.6790486998,44394.006544605,73710.565025692,47126.6381114395
27954.0697881683,31214.5177129929,28194.7477883966,47139.6559177788,12783.56762088,7264.85910965851,29931.7235590116,49003.568804057,19206.0812283891
27307.6970217836,31428.5160883626,27796.3758250983,52515.5693928083,7625.27744663557,14269.8835872214,30431.2306022303,54184.4385698671,26078.5158117257
27083.5657115083,29290.0817378524,27062.4131979256,40315.4098761755,17681.2091100079,113.812619938622,27798.7128503491,42288.5582131054,11877.2694624439
26331.811428508,30434.5475540446,26813.6293474118,51683.104290597,6911.18059722678,13805.92393549,29432.6731636491,53331.6373098884,25520.9953265977
25300.5614515295,27495.4242678383,25272.3350290874,39471.2135129882,16783.4745816441,1712.18919292638,26006.672432167,41378.7426825882,11862.4684645256
38479.1204693581,43394.8927232037,39279.7625832851,69568.0752265266,18881.7261706795,31835.9467971524,42909.9604036716,71072.5738412567,43725.2862680516
