0
ㅋㅋ
ㅠㅠ
ㅠㅠㅠ
가성
가치
감사하다
건강하다
관광지
괜찮다
그저
금방
기다
기다리다
기대
길다
나쁘다
남자
너무
놀라다
늦다
달다
대가
대기
대박
대비
동네
떡집
만족하다
맛없다
맞추다
매장
먹기
모두
미치다
바르다
배부르다
별로
비다
비싸다
빵집
설명
시간
시반
아쉽다
아저씨
여자
예쁘다
오래
오시
오전
웨이
이모
인도
일찍
입장
장사
장소
저녁
저렴하다
적다
점수
점심
점심시간
좋다
주다
주시
주심
줄다
지리
지치다
착하다
천원
최고
친절
크다
터지다
특히
편안하다
편이
평일
해주다
해체
호텔
회전
맛있다
가격
웨이팅
서비스
분위기
