,ㅋㅋ,ㅠㅠ,ㅠㅠㅠ,가격,가성,가치,감사하다,건강하다,관광지,괜찮다,그저,금방,기다,기다리다,기대,길다,나쁘다,남자,너무,놀라다,늦다,달다,대가,대기,대박,대비,동네,떡집,만족하다,맛없다,맛있다,맞추다,매장,먹기,모두,미치다,바르다,배부르다,별로,분위기,비다,비싸다,빵집,서비스,설명,시간,시반,아쉽다,아저씨,여자,예쁘다,오래,오시,오전,웨이,웨이팅,이모,인도,일찍,입장,장사,장소,저녁,저렴하다,적다,점수,점심,점심시간,좋다,주다,주시,주심,줄다,지리,지치다,착하다,천원,최고,친절,크다,터지다,특히,편안하다,편이,평일,해주다,해체,호텔,회전
맛있다,0.9365655183792114,0.9369311928749084,0.9527219533920288,0.0,0.8281853795051575,0.0,0.0,0.9038695096969604,0.0,0.8490451574325562,0.8618077039718628,0.0,0.0,0.0,0.8574407696723938,0.0,0.8063646554946899,0.8296381235122681,0.9084708094596863,0.9147586226463318,0.0,0.9185131192207336,0.0,0.0,0.9035618305206299,0.0,0.0,0.0,0.8124198317527771,0.9212242364883423,0.9999999403953552,0.0,0.0,0.0,0.8319277167320251,0.9272571206092834,0.8426779508590698,0.9140855669975281,0.8258512020111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146167397499084,0.0,0.8132240176200867,0.0,0.0,0.0,0.0,0.0,0.0,0.8408571481704712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214046359062195,0.0,0.0,0.0,0.8012227416038513,0.9072891473770142,0.0,0.0,0.8155102133750916,0.8834112286567688,0.0,0.8517252206802368,0.8761356472969055,0.9064781665802002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가격,0.0,0.0,0.0,0.9999999403953552,0.840502142906189,0.0,0.0,0.0,0.0,0.8729168176651001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003377914428711,0.0,0.0,0.9146862030029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815090000629425,0.0,0.8830772042274475,0.9486716985702515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9234079122543335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222429752349854,0.0,0.0,0.0,0.8113953471183777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
웨이팅,0.0,0.0,0.0,0.0,0.0,0.9423174262046814,0.0,0.0,0.8212712407112122,0.0,0.0,0.9462591409683228,0.9327265620231628,0.9343478679656982,0.0,0.9314125776290894,0.0,0.0,0.0,0.0,0.9493579268455505,0.0,0.0,0.9505047798156738,0.0,0.0,0.8206318616867065,0.0,0.0,0.0,0.0,0.9215835928916931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9369913935661316,0.9247573614120483,0.0,0.8198539018630981,0.0,0.0,0.9425228238105774,0.815230131149292,0.9424095153808594,0.9676840901374817,1.0000001192092896,0.0,0.0,0.9341028332710266,0.9423325657844543,0.8405354022979736,0.8072277307510376,0.925743043422699,0.0,0.0,0.0,0.9370086193084717,0.9536099433898926,0.0,0.0,0.0,0.0,0.0,0.0,0.8206748366355896,0.8301947712898254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528791308403015,0.0,0.0,0.0,0.9566593170166016
서비스,0.0,0.0,0.0,0.0,0.0,0.0,0.8624197840690613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837782084941864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309770226478577,0.0,0.0,0.0,0.0,0.896640419960022,0.9068362712860107,0.0,0.8702208399772644,0.0,0.0,0.8200323581695557,0.0,0.0,0.0,1.0,0.8951913118362427,0.0,0.0,0.0,0.0,0.8749281167984009,0.0,0.0,0.0,0.0,0.0,0.0,0.8310176730155945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222940564155579,0.867887020111084,0.8669067621231079,0.890326738357544,0.8395319581031799,0.0,0.0,0.0,0.0,0.0,0.8477917313575745,0.0,0.0,0.0,0.8168086409568787,0.0,0.0,0.8876459002494812,0.8532184958457947,0.0,0.0
분위기,0.0,0.0,0.0,0.0,0.8342968821525574,0.8009165525436401,0.8860158324241638,0.0,0.8861410617828369,0.0,0.0,0.0,0.8166664242744446,0.0,0.0,0.8179678320884705,0.0,0.8179592490196228,0.0,0.0,0.0,0.0,0.8659844994544983,0.0,0.0,0.0,0.8615080118179321,0.8767440915107727,0.8193616271018982,0.0,0.0,0.0,0.8844965100288391,0.8054722547531128,0.8094074726104736,0.0,0.0,0.0,0.0,0.9999999403953552,0.0,0.0,0.8794034719467163,0.8200323581695557,0.818346381187439,0.0,0.0,0.0,0.8735982775688171,0.8305745124816895,0.910729706287384,0.0,0.8851030468940735,0.0,0.0,0.0,0.8270598649978638,0.8795731663703918,0.0,0.0,0.8891555666923523,0.8952847719192505,0.0,0.0,0.0,0.8691737055778503,0.0,0.0,0.8892207741737366,0.0,0.0,0.0,0.0,0.0,0.8809189200401306,0.8684197068214417,0.0,0.0,0.9285057187080383,0.0,0.0,0.0,0.900830864906311,0.0,0.0,0.8088163137435913,0.8471084237098694,0.893362820148468,0.0
